ts_by_detla_seconds,value_baro,value_rain_day,value_humi_in,value_temp_in,value_humi_out,value_temp_out,value_solar,value_wind,value_MPPT
1568604720.0,1008.6082993197232,0.0,36.605442176870746,28.088451020408083,41.73809523809524,26.81972040816327,112.93877551020408,1.1867346938775551,1686.1081632652933
1568605320.0,1008.6808888888895,0.0,37.0,28.006177777777747,40.5,26.883957777777724,78.44444444444444,1.13,1195.7288888888945
1568605920.0,1008.7239999999998,0.0,36.85,28.072250000000043,40.55,26.794449999999927,64.65,0.9899999999999997,1041.2600000000007
1568606520.0,1008.8360000000005,0.0,36.5,28.188890000000054,40.85,26.761120000000023,52.6,0.8549999999999993,787.3999999999994
1568607120.0,1008.9879999999997,0.0,36.5,28.311099999999932,41.0,26.605570000000057,42.2,0.8775000000000006,648.1700000000001
1568607720.0,1009.012000000001,0.0,36.5,28.42220999999993,40.8,26.52224000000003,44.95,0.8324999999999999,751.4299999999985
1568608320.0,1009.0970000000019,0.0,36.5,28.527800000000024,40.45,26.494439999999987,47.15,0.8099999999999996,768.5999999999992
1568608920.0,1009.076,0.0,36.1,28.62223000000005,40.0,26.48332,41.55,0.7875000000000002,676.789999999998
1568609520.0,1009.0900000000014,0.0,36.0,28.70000000000009,40.15,26.5,41.0,0.5849999999999996,720.1599999999995
1568610120.0,1009.0870000000011,0.0,36.0,28.749999999999964,40.2,26.47775999999998,34.8,0.8325000000000005,560.8900000000001
1568610720.0,1009.176000000002,0.0,36.0,28.788899999999916,40.55,26.383329999999926,17.45,0.49500000000000055,212.43
1568611320.0,1009.2726315789461,0.0,36.0,28.81577368421046,40.921052631578945,26.260231578947447,8.842105263157896,0.6157894736842108,45.71578947368419
1568611920.0,1009.3750000000013,0.0,36.0,28.819425000000006,40.5,26.04167500000001,5.25,1.125,4.375000000000001
1568612520.0,1009.4000000000003,0.0,36.0,28.777799999999985,40.5,26.0,5.5,0.5624999999999999,9.200000000000005
1568613720.0,1009.5944444444439,0.0,35.5,28.746911111111096,40.5,25.814811111111144,0.0,0.7999999999999998,55.32222222222222
1568614320.0,1009.6649999999997,0.0,35.5,28.711100000000005,40.5,25.777800000000024,0.0,0.6975000000000001,220.3
1568614920.0,1009.6279999999999,0.0,35.5,28.688900000000025,40.5,25.777800000000024,0.0,0.6524999999999997,430.64999999999975
1568615520.0,1009.5978947368416,0.0,35.5,28.637436842105284,40.10526315789474,25.74561052631577,0.0,0.4736842105263157,456.00526315789506
1568616120.0,1009.6873684210527,0.0,35.5,28.61404210526318,40.05263157894737,25.728052631578915,0.0,0.4973684210526315,345.75263157894756
1568616720.0,1009.8069999999989,0.0,35.5,28.57224999999998,40.0,25.71664999999998,0.0,0.7424999999999995,508.8199999999998
1568617320.0,1009.7439999999995,0.0,35.5,28.550039999999996,39.6,25.67225,0.0,0.6524999999999999,521.23
1568617920.0,1009.7499999999989,0.0,35.5,28.488880000000012,39.0,25.62778000000003,0.0,0.44999999999999984,941.2299999999987
1568618520.0,1009.7790000000011,0.0,35.15,28.44440000000002,39.0,25.583349999999975,0.0,0.7200000000000002,1212.3100000000006
1568619120.0,1009.8099999999989,0.0,35.0,28.399999999999984,39.0,25.555599999999966,0.0,0.6974999999999998,1332.3899999999994
1568619720.0,1009.832999999998,0.0,35.0,28.355539999999984,39.0,25.550039999999974,0.0,0.8099999999999998,1168.2700000000007
1568620320.0,1009.9609999999999,0.0,35.0,28.333299999999987,38.85,25.47777000000001,0.0,0.8324999999999999,1561.7099999999987
1568620920.0,1010.0400000000011,0.0,35.0,28.266680000000026,38.95,25.338880000000017,0.0,0.585,1236.5099999999989
1568621520.0,1010.2973684210519,0.0,35.0,28.21635789473683,39.0,25.213452631578946,0.0,0.40263157894736823,922.9789473684202
1568622120.0,1010.3409999999997,0.0,35.0,28.17224,38.75,25.12778000000003,0.0,0.5624999999999999,916.9699999999996
1568622720.0,1010.430999999999,0.0,35.0,28.111110000000043,38.9,25.03891,0.0,0.4049999999999998,712.2499999999994
1568623320.0,1010.5269999999989,0.0,35.0,28.061139999999966,38.5,24.977760000000025,0.0,0.42749999999999994,667.8700000000006
1568623920.0,1010.5327777777776,0.0,35.0,27.996911111111128,38.5,24.966022222222232,0.0,0.2499999999999999,781.6
1568624520.0,1010.508888888889,0.0,35.0,27.944400000000034,39.02777777777778,24.969111111111147,0.0,0.3999999999999999,592.7555555555556
1568625120.0,1010.4699999999996,0.0,35.0,27.927749999999968,39.75,24.872219999999995,0.0,0.40499999999999964,578.8699999999997
1568625720.0,1010.4036842105259,0.0,35.0,27.865489473684203,40.13157894736842,24.774842105263133,0.0,0.30789473684210517,1392.4210526315785
1568626320.0,1010.3735294117638,0.0,35.0,27.797388235294143,40.294117647058826,24.65360000000002,0.0,0.29117647058823515,2646.447058823529
1568626920.0,1010.3849999999998,0.0,35.0,27.771622222222234,40.5,24.55558888888887,0.0,0.2999999999999998,3000.2333333333327
1568627520.0,1010.3339999999993,0.0,35.0,27.703706666666665,40.5,24.470353333333343,0.0,0.20999999999999988,1526.253333333334
1568628120.0,1010.3362499999992,0.0,35.0,27.666699999999995,40.6875,24.37498750000001,0.0,0.25312499999999993,151.23749999999987
1568628720.0,1010.2188888888878,0.0,35.0,27.61418888888892,41.0,24.26234444444441,0.0,0.2749999999999999,449.18888888888875
1568629320.0,1010.1500000000002,0.0,35.0,27.56299999999998,41.166666666666664,24.207400000000007,0.0,0.24000000000000002,649.0733333333333
1568629920.0,1010.23,0.0,35.0,27.509266666666672,41.5,24.148166666666683,0.0,0.19999999999999987,344.7722222222221
1568630520.0,1010.2047058823533,0.0,35.23529411764706,27.4640235294118,41.5,24.09804117647057,0.0,0.3176470588235293,1189.923529411766
1568631120.0,1010.2347368421048,0.0,35.5,27.394742105263127,41.89473684210526,24.020484210526313,0.0,0.2605263157894736,2319.215789473684
1568631720.0,1010.2388888888886,0.0,35.5,27.333300000000005,42.0,24.00617777777778,0.0,0.32499999999999996,535.911111111111
1568632320.0,1010.2359999999995,0.0,35.5,27.294450000000023,42.0,23.994440000000004,0.0,0.3374999999999998,600.8399999999996
1568632920.0,1010.161999999999,0.0,35.5,27.25000000000001,42.0,24.0,0.0,0.3599999999999998,924.8000000000002
1568633520.0,1010.1489999999998,0.0,35.5,27.205549999999995,42.45,24.0,0.0,0.2924999999999997,2098.0399999999995
1568634120.0,1010.1076470588241,0.0,35.5,27.166699999999995,42.44117647058823,24.009811764705866,0.0,0.238235294117647,2012.599999999999
1568634720.0,1009.9757142857155,0.0,35.5,27.15081428571428,42.5,24.0,0.0,0.257142857142857,1910.3357142857124
1568681520.0,1009.8499999999921,0.025400000000000016,72.5,28.027750000000122,84.5,25.166650000000043,55.833333333333336,0.7500000000000027,870.900000000002
1568682120.0,1009.8336363636354,0.025399999999999926,72.0909090909091,28.00756818181809,84.5,25.106054545454757,42.68181818181818,1.1659090909091214,681.7272727272765
1568682720.0,1009.8124999999989,0.0253999999999998,72.0,27.99166499999989,84.6,24.997225000000082,57.9,1.0800000000000054,941.0400000000009
1568683320.0,1009.7459374999939,0.025399999999999857,72.0,27.975674999999356,84.625,24.98610312500005,64.875,0.9000000000000061,1049.7375000000006
1568683920.0,1009.7100000000036,0.025399999999999808,72.0,27.95986666666612,84.55555555555556,25.035477777777977,66.30555555555556,0.9750000000000087,1105.1111111111145
1568684520.0,1009.7390000000054,0.0253999999999998,72.0,27.95556000000015,84.3,25.07221000000016,93.55,1.1700000000000066,1642.069999999979
1568685120.0,1009.6289999999963,0.0253999999999998,72.0,27.947230000000115,84.3,25.13335000000024,133.25,1.5300000000000114,2776.289999999995
1568685720.0,1009.4593750000248,0.025400000000000325,71.59375,27.960081249999465,83.28125,25.402790625000762,165.5,1.1390625000000116,3232.962499999925
1568686320.0,1009.433684210516,0.025400000000000464,71.5,27.973673684209746,82.6842105263158,25.679821052632132,318.8421052631579,1.4447368421052609,4767.394736842092
1568686920.0,1009.4188888889029,0.025400000000000422,71.55555555555556,27.996916666666444,81.38888888888889,25.97531388888905,258.47222222222223,1.649999999999988,4092.0444444445116
1568687520.0,1009.365000000022,0.025400000000000464,71.97368421052632,28.029247368421345,80.60526315789474,26.01900526315706,245.0,1.3736842105263367,3516.242105263171
1568688120.0,1009.3524999999966,0.025400000000000443,71.75,28.063890000000374,80.4,26.147214999999118,245.05,1.304999999999983,3333.710000000082
1568688720.0,1009.3840000000176,0.025400000000000443,71.5,28.09445000000011,80.15,26.07778500000045,109.75,1.4399999999999986,2262.1100000000397
1568689320.0,1009.4128947368383,0.025400000000000464,71.5,28.13597368421126,80.78947368421052,25.906413157894207,103.71052631578948,1.3736842105263003,2157.3842105263766
1568689920.0,1009.4465789473882,0.025400000000000464,71.34210526315789,28.16664999999943,79.97368421052632,25.91519473684181,104.42105263157895,1.3263157894736994,2694.3578947369265
1568690520.0,1009.4671052631611,0.025400000000000464,71.0,28.1944447368427,79.8157894736842,25.995586842105862,130.3421052631579,1.563157894736797,2729.547368421168
1568691120.0,1009.5690000000134,0.025400000000000443,71.0,28.22499499999953,79.35,25.947199999999697,97.2,1.3274999999999981,2363.8899999999544
1568691720.0,1009.636842105267,0.025400000000000464,70.71052631578948,28.23831578947362,79.42105263157895,25.878631578947477,94.3157894736842,1.5157894736842374,2242.9473684211025
1568692320.0,1009.7133333333513,0.025400000000000422,70.5,28.23766666666668,79.5,25.827147222222308,43.416666666666664,1.1999999999999882,2010.3555555554985
1568692920.0,1009.824166666665,0.025400000000000422,70.5,28.25,79.69444444444444,25.790116666666876,33.861111111111114,0.9000000000000158,1703.4500000000223
1568693520.0,1009.9023684210268,0.025400000000000464,70.34210526315789,28.258773684210453,79.5,25.69442631578912,48.71052631578947,1.0421052631578942,1630.2789473684832
1568694120.0,1010.0064999999884,0.025400000000000443,70.0,28.250000000000036,79.9,25.599999999999728,29.3,1.2825000000000102,878.9000000000066
1568694720.0,1010.0776315789677,0.025400000000000464,68.63157894736842,28.216386842105354,80.23684210526316,25.44297105263122,22.157894736842106,1.065789473684216,496.17894736842055
1568695320.0,1010.1609999999903,0.025400000000000443,68.3,28.080580000000804,80.55,25.358325000000242,19.8,1.057500000000013,401.4900000000044
